x,values
2020-06,17676
2013-05,28020
2019-10,21737
2020-12,16523
2009-07,35680
2018-10,22869
2002-11,37154
2020-02,18212
2013-09,26356
2023-08,24035
2010-08,34165
2007-05,40093
2024-02,2548
2022-04,18019
2017-09,22858
2021-07,19264
2009-01,30266
2008-02,29053
2005-07,41811
2005-09,39629
2019-11,19987
2001-12,36852
2013-12,21877
2004-05,40782
2023-12,20921
2006-07,41555
2021-04,15629
2010-11,28900
2013-06,27399
2003-02,32510
2023-11,21096
2005-12,32671
2001-06,41735
2006-05,39618
2008-09,37459
2007-08,39849
2006-04,36479
2010-02,24957
2022-06,20805
2001-05,41839
2005-02,31990
2017-10,22941
2001-11,39611
2004-04,38271
2006-09,37777
2003-07,43419
2002-04,40040
2021-06,18844
2010-04,31677
2016-02,18756
2002-03,38588
2019-03,20458
2017-05,23396
2018-06,24266
2011-05,31600
2022-02,15247
2015-05,23726
2017-11,21515
2022-08,22320
2018-03,21260
2023-07,23895
2012-08,30064
2020-05,17611
2002-12,37178
2015-12,21154
2004-02,34070
2012-02,23888
2006-03,36984
2010-03,32346
2001-10,43037
2021-11,17439
2007-07,40993
2004-11,36844
2012-04,27192
2023-03,20670
2003-12,35792
2023-10,22845
2010-01,29265
2018-02,17374
2017-03,20582
2016-12,20399
2010-09,31903
2017-08,24748
2016-09,23707
2012-05,30117
2005-10,39961
2021-03,16157
2006-08,40499
2008-08,40542
2009-10,33546
2022-07,22289
2021-02,13124
2001-04,40091
2007-12,31609
2019-07,24885
2016-03,22069
2017-06,23882
2016-10,23772
2010-06,32733
2005-11,35984
2005-01,33877
2002-09,42392
2012-12,25245
2008-05,38067
2004-10,41529
2023-02,18378
2012-07,31991
2021-12,17335
2014-01,20084
2021-10,19386
2011-03,28702
2002-06,42840
2017-02,19325
2017-04,21710
2020-11,16657
2018-05,24765
2022-11,20816
2010-07,33515
2006-10,38662
2023-09,22462
2015-02,16410
2015-08,24832
2005-05,40473
2018-08,25498
2014-03,22199
2017-07,24885
2014-08,25907
2001-03,40569
2007-09,38268
2011-01,27232
2023-04,20679
2013-11,23577
2023-05,22133
2014-02,18051
2021-05,17835
2012-01,26331
2003-01,36723
2008-06,37709
2009-08,35833
2022-10,23218
2015-10,23110
2019-05,23684
2008-04,35602
2020-07,19651
2023-01,21100
2019-08,24451
2001-01,38120
2006-02,31302
2011-11,27661
2013-02,21427
2015-11,20605
2012-11,26049
2005-06,40057
2014-09,23912
2022-09,22355
2019-01,19776
2008-12,29421
2016-05,23557
2007-01,34123
2001-08,44041
2004-06,41136
2007-02,27139
2003-05,41197
2019-09,22487
2002-08,44216
2006-11,35572
2012-06,31099
2013-07,28646
2003-03,38652
2009-11,31402
2014-05,24889
2015-01,20982
2016-04,21185
2012-09,27779
2006-01,36770
2020-03,16758
2011-08,32602
2002-02,33909
2007-10,39597
2017-12,21118
2023-06,22585
2022-03,18400
2002-10,43148
2018-11,20710
2005-04,38871
2022-05,20151
2006-12,34147
2011-04,29116
2004-01,35112
2016-11,21752
2011-09,29946
2021-08,18561
2013-08,28676
2003-08,44271
2002-01,38422
2020-01,19978
2011-10,30289
2011-07,33265
2004-12,34323
2019-06,23639
2008-11,33564
2014-11,20780
2004-03,39858
2019-04,21042
2020-09,17952
2004-08,43047
2018-12,22027
2001-02,33788
2009-12,28192
2016-01,20781
2003-09,41427
2016-07,24863
2016-06,24087
2015-07,24244
2008-07,40496
2014-04,22942
2007-06,38996
2014-10,24012
2015-09,23137
2010-05,33414
2009-09,33874
2011-06,32324
2011-02,22239
2003-11,38057
2019-12,20829
2009-05,35249
2022-12,19922
2014-12,20991
2013-03,24990
2007-03,36357
2014-06,25463
2013-10,25491
2001-07,44702
2020-08,19924
2003-04,39789
2010-12,25250
2012-10,27997
2003-06,40820
2014-07,26584
2018-04,21165
2018-01,20585
2003-10,43330
2005-08,41545
2011-12,27032
2007-11,34425
2005-03,36907
2009-04,32575
2015-06,23196
2015-04,21740
2009-03,33691
2013-01,25552
2002-07,46013
2021-01,16227
2008-01,33405
2001-09,41518
2019-02,18443
2016-08,24937
2002-05,42914
2020-04,12930
2010-10,32402
2020-10,18447
2004-09,41215
2021-09,19256
2009-06,34284
2024-01,18780
2022-01,15646
2018-09,23142
2013-04,25542
2017-01,22179
2012-03,28583
2018-07,25298
2008-03,33985
2015-03,21687
2009-02,28243
2007-04,35641
2008-10,37891
2004-07,43241
2006-06,38820
